MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2023-2024_Arsenal_Chelsea,2023-2024,34,2024-04-23,20:00,Arsenal,Chelsea,5,0,H,1,0,H,S Hooper,27,7,10,1,4,2,12,11,2,2,0,0,1.44,5,6,1.53,2.5,1.52,5.2,7.5,1.45,4.93,6.78,1.57,2.65,1.53,2.53,3,0
2023-2024_Wolves_Bournemouth,2023-2024,34,2024-04-24,19:45,Wolves,Bournemouth,0,1,A,0,1,A,S Attwell,15,21,4,6,8,12,10,17,4,1,0,1,2.7,3.6,2.5,1.67,2.2,2.81,3.8,2.6,2.72,3.6,2.52,1.73,2.33,1.66,2.24,0,3
2023-2024_Crystal Palace_Newcastle,2023-2024,34,2024-04-24,20:00,Crystal Palace,Newcastle,2,0,H,0,0,D,T Bramall,20,7,7,2,7,2,10,15,3,3,0,0,2.75,3.6,2.4,1.57,2.38,2.85,3.85,2.51,2.76,3.68,2.43,1.7,2.45,1.61,2.35,3,0
2023-2024_Everton_Liverpool,2023-2024,34,2024-04-24,20:00,Everton,Liverpool,2,0,H,1,0,H,A Madley,16,23,6,7,4,13,6,13,0,3,0,0,7,5,1.4,1.53,2.5,7.7,5.33,1.47,7.11,4.98,1.42,1.55,2.74,1.51,2.56,3,0
2023-2024_Man United_Sheffield United,2023-2024,34,2024-04-24,20:00,Man United,Sheffield United,4,2,H,1,1,D,M Salisbury,25,10,13,4,9,4,7,9,0,1,0,0,1.3,6.5,7.5,1.36,3.2,1.35,6.5,9.5,1.31,6.11,8.44,1.38,3.33,1.36,3.18,3,0
2023-2024_Brighton_Man City,2023-2024,34,2024-04-25,20:00,Brighton,Man City,0,4,A,0,3,A,J Gillett,7,14,3,6,4,4,10,3,2,0,0,0,6.5,5,1.4,1.5,2.63,7.1,5.25,1.48,6.65,4.95,1.44,1.53,2.7,1.49,2.63,0,3
2023-2024_West Ham_Liverpool,2023-2024,35,2024-04-27,12:30,West Ham,Liverpool,2,2,D,1,0,H,A Taylor,11,28,8,8,5,8,8,10,0,2,0,0,5.5,5,1.5,1.36,3.2,6,5.18,1.58,5.63,4.89,1.51,1.42,3.27,1.37,3.1,1,1
2023-2024_Fulham_Crystal Palace,2023-2024,35,2024-04-27,15:00,Fulham,Crystal Palace,1,1,D,0,0,D,S Attwell,9,14,2,4,5,9,11,15,0,2,0,0,2.1,3.5,3.5,1.73,2.1,2.17,3.75,3.6,2.11,3.6,3.42,1.75,2.28,1.7,2.18,1,1
2023-2024_Man United_Burnley,2023-2024,35,2024-04-27,15:00,Man United,Burnley,1,1,D,0,0,D,J Brooks,27,16,10,7,6,5,7,11,1,3,0,0,1.5,4.75,5.5,1.36,3.2,1.57,5.2,5.75,1.52,4.9,5.44,1.41,3.39,1.36,3.15,1,1
2023-2024_Newcastle_Sheffield United,2023-2024,35,2024-04-27,15:00,Newcastle,Sheffield United,5,1,H,1,1,D,T Harrington,20,15,7,5,4,5,9,10,0,0,0,0,1.22,7,11,1.33,3.4,1.25,7.6,12.9,1.23,7.04,11.1,1.37,3.45,1.33,3.31,3,0
